Name of the College,,
Loyola —ICAM College of Engineering and Technology,,
Jawaharlal Nehru Rajkeeya Mahavidyalaya ,,
Dr. B. R. Ambedkar Institute of Technology ,,
Aditya College of Engineering and Technology  ,,
Aditya Engineering College ,,
Amrita Sai Institute of Science and Technology ,,
Andhra Lutheran College of Education ,,
Anil Neerukonda Institute of Technology & Sciences,,
Annamacharya Institute of Technology and Sciences,,
Annamacharya Institute of Technology and Sciences   ,,
Baba Institute of Technology and Sciences,,
Bapatla College of Arts & Sciences,,
Bapatla Engineering College ,,
Bonam Venkata Chalamayya Institute of Technology & Sciences,,
Chaitanya Bharathi Institute of Technology ,,
Chaitanya Engineering College,,
Chalapathi Institute of Pharmaceutical Sciences,,
Chalapathi Institute of Technology,,
Chirala Engineering College,,
D.R.G. Government Degree & P.G. College,,
D.S. Government Degree College For Women,,
Dadi Institute of Engineering and Technology,,
Dhanekula Institute of Engineering and Technology,,
Dr. Lankapalli Bullayya College,,
Duvvuru Ramananmma Women’s College,,
G. Pulla Reddy Engineering College,,
G. V. R. S. Government Degree College,,
G.V.S.M. Government Degree College,,
Gayatri Vidya Parishad College of Engineering,,
GIET School of Pharmacy,,
GMR Institute of Technology,,
Government Degree College Srungavarapu Kota ,,
Government Degree College   Tuni East Godavari Dist ,,
Government Degree College Nagari Chittoor Dist ,,
"Government Degree College for Women,  Madanapalle",,
"Government Degree College,   Razole",,
"Government Degree College, Amadalavalasa",,
"Government Degree College, Avanigadda",,
"Government Degree College, Ichapuram",,
"Government Degree College, Kadapa Dist",,
"Government Degree College, Kadapa Dist",,
"Government Degree College, Kadapa Dist",,
"Government Degree College,  Kanigiri, Prakasam Dist, 523230 Andhra Pradesh(First Cycle)",,
"Government Degree College, Karvetinagaram, Chittoor, Puttur – 517582   ",,
"Government Degree College, Krishna, Tiruvuru – 521235  ",,
"Government Degree College, Kurnool Dist, 518401 ",,
"Government Degree College, Mandapeta, East Godavari – 533308  ",,
"Government Degree College, Narsipatnam, Visakhapatnam – 531116  ",,s
"Government Degree College, Nellore District, Naidupet – 524126 ",,
"Government Degree College, Pattikonda, Kurnool – 518380  ",,
"Government Degree College, Puttur, Dist. Chittoor, Andhra Pradesh  ",,
"Government Degree College, Ravulapalem, East Godavari Dist ",,
"Government Degree College, Seethanagaram, East Godavari, Rajahmundry – 533287  ",,
"Government Degree College, Srikakulam Dist, 532201 ",,
"Government Degree College, Srikakulam Dist, 532421 ",,
"Government Degree College, Uravakonda, Anantapur – 515812 ",,
"Government Degree College, Vizianagaram, Salur – 535591 ",,
"Government Degree College, West Godavari, 534460 ",,
"Gudlavalleru Engineering College, Krishna – 521356 (First Cycle, Re-assessment)",,
"Jawahar Bharati Degree College,Kavali, Nellore Dist, 524201 ",,
"K.G. Prasada Rao - A.N.R. College of Education Post Box No. 28, Gudivada Krishna Dist 521301, Andhra Pradesh ",,
"K.H. Government Degree College,  Anantapuram Dist, 515671 ",,
"K.R.K Government Degree College, Addanki, Prakasam Dist, Andhra Pradesh(Second Cycle)",,
"K.S.N. Government Degree College for Women,  Bhairava Nagar, Ananthapur, 515002 ",,
"Krishna Chaitanya Institute of Technology and Sciences,Peddaraveedu Mandal, Prakasam, Markapur – 523320 (First Cycle",,
"Kuppam Engineering College, Kuppam, Chittoor Dist, 517425 ",,
"KVR,KVR & MKR  College, Guntur – 522329  ",,
"M V R College of Engineering and Technology, Vijayawada – 521180  ",,
"Maharaj Vijayaram Gajapathi Raj College of Engineering, Vizianagaram - 535005 ",,
"Maharaja's College (Autonomous), Vizianagaram Dist, 535002 Andhra Pradesh ",,
"Maris Stella College (Autonomous), Vijayawada, Krishna Dist ",,
"Montessori Mahila Kalasala,Vijayawada – 520010 ",,
"Mrs. A. V. N. College, I Town, Visakhapatnam – 530001 ",,
"MVN., JS and RVR College of Arts and Science, Malikipuram, East Godavari – 533253  ",,
"N. S. P. R. Government College for Women, Hindupur, Anantapur – 515201 ",,
"N.B.K.R. Institute of Science & Technology (Autonomous), Vidyanagar, SPSR Nellore, 524413 Andhra Pradesh  ",,
"N.B.K.R. Science & Arts College, Vidyanagar, SPSR, Nellore Dist, Andhra Pradesh ",,
"N.T.R. Government Degree College, Chittoor Dist, 517299 ",,
"Nadimpalli Satyanarayana Raju Institute of Technology, Sonytyam, Anandapuram, Visakhapatnam – 531173 ",,
"Narasaraopeta Engineering College,Guntur Dist, 522601 ",,
"Narayana Dental College, Chinthareddypalem, Nellore – 524003  ",,
"Narayana Medical College, Nellore – 524003 ",,
"Nirmala College of Pharmacy, Atmakuru, Mangalagiri, Guntur – 522503 ",,
"P. R. R. & V. S. Government College Vidavalur SPSR, Nellore – 524318  ",,
"P.S.C. & K.V.S.C. Government College, Kurnool Dist, 518502 ",,
"PACE Institute of Technology and Sciences, Ongole – 523272 ",,
"Parvathareddy Babul Reddy Visvodaya Institute of Technology and Science, Kavali – 524201 ",,
"Pragati Engineering College, East Godavari, 533437 ",,
"Priyadarshini College of Engineering and Technology, Kanuparthipadu, Nellore – 524004 ",,
"R.R.D.S. Government Degree College, Bhimavaram, West Goda vari Dist, 534202 ",,
"R.V.R. & J.C. College of Engineering (Autonomous) Chandramoulipuram, Chowdavaram Guntur 522019, Andhra Pradesh ",,
"Raghavendra Institute of Pharmaceutical Education and Research (RIPER), Anantapur – 515721  ",,
"Raghu Engineering College, Visakhapatnam – 531162 ",,
"Raghu Institute of Technology, Dakamarri, Bheemunipatnam, Visakhapatnam – 531162 ",,
"Rayalaseema College of Education 19-8-150, Rayalaseema Nagar, Bairagipatteda, Tirupati Chittoor Dist 517501 Andhra Pradesh ",,
"S. B. V. R. Degree College, Badvel, Kadapa – 516227 ",,
"S. C. N. R. Government Degree College, Kadapa – 510360 ",,
S. T. S. N. Government Degree College Kadiri - 515591 ,,
"S.G.A. Government Degree College, Visakhapatnam Dist, 531005 ",,
"S.K.P. Government College, Guntakal, Anantapur Dist, 515803 ",,
"S.K.R. & S.K.R. Government College for Women,Kadapa, 516001 Andhra Pradesh ",,
"S.K.R. Government Degree College, Gudur, SPSR, Nellore, 524102
 Andhra Pradesh  
",,
"S.V.C.R. Government Degree College, Dist. Chittoor, 517408 ",,
"S.V.D. Government Degree College for Women, Nidadavole, West Godavari Dist, 534301 ",,
"S.V.G.M. Government Degree College Kalyandurg Anantapur Dist 515761,Andhra Pradesh ",,
"S.V.R.K Government Degree College (Men), Nidadavole, West Godavari Dist,  Andhra Pradesh ",,
"Sagi Rama Krishnam Raju Engineering College, Bhimavaram – 534204    ",,
"Sanjay Gandhi  Government Degree College, Piler, Chittoor Dist, Andhra Pradesh  ",,
"Sasi Institute of Technology & Engineering, Tadepalligudem, West Godavari Dist, 534101  ",,
"Shree Velagapudi Ramakrishna Memorial College (Autonomous), Nagaram, Guntur Dist, 522268 ",,
"Shri Vishnu Engineering College (Women) (Autonomous), West Godavari Dist, 534202 ",,
"Siddartha Institute of Science and Technology, ",,
"Siddharth Institute of Engineering and Technology, Puttur – 517583 ",,
"Silver Jubilee Government College (Autonomous) B. Camp Kurnool 518002, Andhra Pradesh ",,
"Smt. N.P. Savithramma Government College for Women, Chittoor Dist, 517002 
(Second Cycle)
",,
"Sree Vasavi Kanyaka Parameswari Arts, Science & Commerce College, Prakasam Dist, 523316 ",,
"Sreenivasa Institute of Technology & Management Studies (Autonomous),Chittoor, 517127 ",,
"Sri A. B. R. Government Degree College Repalle, Guntur – 522265 ",,
"Sri A.S.N.M Government College, Palakol, West Godavari Dist, 534260 ",,
"Sri Bijivemula Veera Reddy College of Education Badvel Kadapa Dist 516227, Andhra Pradesh ",,
"Sri Chintalapati Varaprasada Murthy Raju Government Degree College, West Godavari – 534198  ",,
"Sri Dasari Narayana Rao Government Degree College for Women, West Godavari, Palacole – 534260  ",,
"Sri Mahayogi Lakshamma Government Degree College, Yammiganur, Kurnool Dist, 518360 ",,
"Sri Ramakrishna Degree College (Autonomous), Kurnool Dist, 518501 ",,
"Sri Sai Baba National Degree College (Autonomous), Anantapur, Andhra Pradesh ",,
"Sri Sivani College of Engineering NH-16, Chilakapalem Jn., Etcherla Mandal Srikakulam Dist 532402, Andhra Pradesh  ",,
"Sri V.S. Sivalingam Chettiar Government Degree College, Sullurpet, 524121 ",,
"Sri Vasavi Engineering College, Tadepalligudem – 534101 ",,
"Sri Venkateswara College of Engineering And Technology (Autonomous), Chittoor, 517127 (First Cycle, Re-assessment)",,
"Sri Venkateswara College of Engineering and Technology, Srikakulam – 532410 ",,
"Srinivasa Ramanujan Institute of Technology, Rotarypuram, B. K. Samudram, Anantapur – 515701 ",,
"St. Joseph’s College for Women (Autonomous), Gnanapuram, Visakhapatnam, 530004 ",,
"St. Mary’s Group of Institutions Guntur, Chebrolu (V&M), Guntur – 522212 (First Cycle",,
