city,state
Mumbai,Maharashtra
Delhi,Delhi
Kolkata,West Bengal
Chennai,Tamil Nadu
Bengaluru,Karnataka
Hyderabad,Andhra Pradesh
Ahmadabad,Gujarat
Haora,West Bengal
Pune,Maharashtra
Surat,Gujarat
Mardanpur,Uttar Pradesh
Rampura,Rajasthan
Lucknow,Uttar Pradesh
Nara,Maharashtra
Patna,Bihar
Indore,Madhya Pradesh
Vadodara,Gujarat
Bhopal,Madhya Pradesh
Coimbatore,Tamil Nadu
Ludhiana,Punjab
agra,Uttar Pradesh
Kalyan,Maharashtra
Vishakhapatnam,Andhra Pradesh
Kochi,Kerala
Nasik,Maharashtra
Meerut,Uttar Pradesh
Faridabad,Haryana
Varanasi,Uttar Pradesh
Ghaziabad,Uttar Pradesh
asansol,West Bengal
Jamshedpur,Jharkhand
Madurai,Tamil Nadu
Jabalpur,Madhya Pradesh
Rajkot,Gujarat
Dhanbad,Jharkhand
Amritsar,Punjab
Warangal,Andhra Pradesh
Allahabad,Uttar Pradesh
Srinagar,Jammu and Kashmir
Aurangabad,Maharashtra
Bhilai,Chhattisgarh
Solapur,Maharashtra
Ranchi,Jharkhand
Jodhpur,Rajasthan
Guwahati,Assam
Chandigarh,Chandigarh
Gwalior,Madhya Pradesh
Thiruvananthapuram,Kerala
Tiruchchirappalli,Tamil Nadu
Hubli,Karnataka
Mysore,Karnataka
Raipur,Chhattisgarh
Salem,Tamil Nadu
Bhubaneshwar,Odisha
Kota,Rajasthan
Jhansi,Uttar Pradesh
Bareilly,Uttar Pradesh
Aligarh,Uttar Pradesh
Bhiwandi,Maharashtra
Jammu,Jammu and Kashmir
Moradabad,Uttar Pradesh
Mangalore,Karnataka
Kolhapur,Maharashtra
Amravati,Maharashtra
Dehra Dun,Uttarakhand
Malegaon Camp,Maharashtra
Nellore,Andhra Pradesh
Gopalpur,Uttar Pradesh
Shimoga,Karnataka
Tiruppur,Tamil Nadu
Raurkela,Odisha
Nanded,Maharashtra
Belgaum,Karnataka
Sangli,Maharashtra
Chanda,Maharashtra
Ajmer,Rajasthan
Cuttack,Odisha
Bikaner,Rajasthan
